제목,개요,효과,썸네일,난이도,자세분류,부위
팔 벌려 뛰기,‘국민 운동’이라고 과언이 아닐 정도로 널리 알려진 전신 유산소성 근력 운동이다. 자신의 체중을 이용한 간편한 동작으로 언제 어디서나 쉽게 실시할 수 있는 최고의 운동이다. 이 동작만 하루에 100개씩 꾸준히 실시해도 어느새 몸이 가벼워질 것이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110927638_1P07ASMAI.jpg/WEIGHT_132_pic_1.jpg?type=w492_fst&wm=N,초급,,전신
,,,,,,
카프 레이즈 - 시티드,가자미근이라고 하는 종아리의 심부근육을 발달시키기 위한 운동이다. 비복근의 참여를 줄이기 위해 앉아서 실시하며 여성들에게 추천된다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140554303_1NZZUXEZM.jpg/WEIGHT_110_pic_1.jpg?type=w492_fst&wm=N,초급,,종아리
,,,,,,
크로스 크런치,상복부와 외복사근을 동시에 발달시키기 위한 운동이다. 기본적인 크런치 자세에서 시작하여 한쪽 어깨가 대각선 방향의 무릎을 향하도록 복근을 수축시킨다. 이완 시 동작 범위를 어깨가 바닥에 닿기 전까지로 제한하는 것이 옆구리에 긴장감을 계속 유지하여 최적의 효과를 볼 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140519614_RFSCJX52B.jpg/WEIGHT_095_pic_1.jpg?type=w492_fst&wm=N,중급,,복부
,,,,,,
러시안 트위스트,내·외복사근을 발달시키는 운동이다. 상체를 뒤로 기울여 복직근을 수축한 상태에서 어깨가 좌우로 돌아갈 수 있도록 동작한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140523290_LCZB8SIC3.jpg/WEIGHT_096_pic_1.jpg?type=w492_fst&wm=N,상급,,복부
,,,,,,
숄더 프레스 - 덤벨,삼각근의 전면과 측면의 볼륨과 선명도를 증가시킬 수 있는 운동이다. 바벨 프레스에 비해 어깨의 완전한 가동 범위로 운동할 수 있는 장점이 있다. 전후 또는 좌우 방향의 힘이 추가되어 삼각근의 균형적인 발달을 극대화시킬 수 있다. 하지만 그만큼 컨트롤이 어려워 중량을 많이 다룰 수 없기 때문에 근육 크기 발달에 있어서는 바벨 운동이 더 효과적이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140309278_9FDD7DIJ2.jpg/WEIGHT_040_pic_1.jpg?type=w492_fst&wm=N,중급,,어깨
,,,,,,
"풀오버 - 덤벨, 플랫","대흉근을 전체적으로 발달시키고, 보조적으로 전거근과 상완삼두근, 광배근까지 동원되어 전반적인 상체의 근육을 발달시키는 운동이다. 비교적 짧은 시간 동안에 상체 전반을 키우는 데 아주 효과적이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140251958_ERGXMFUV5.jpg/WEIGHT_030_pic_1.jpg?type=w492_fst&wm=N,상급,,가슴
,,,,,,
,,,,,,
,,,,,,
업라이트 로우 - 바벨,"승모근과 전면 및 측면 삼각근을 발달시키는 데 좋은 운동이다. 볼륨을 키우는 프레스 계열의 운동과 선명도를 높이는 레이즈 계열 운동의 중간 타입의 운동으로 볼 수 있다. 그립을 좁게 잡으면 전면 삼각근을 강조하여 어깨와 가슴의 경계를 뚜렷하게 하는 효과가 있고, 바를 넓게 잡게 되면 측면 삼각근의 동원 비율을 좀 더 높일 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140317789_9IAMD03QB.jpg/WEIGHT_045_pic_1.jpg?type=w492_fst&wm=N,중급,,어깨
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
레그 컬 - 스탠딩,허벅지 뒤쪽 슬굴곡근을 발달시키기 위한 운동이다. 한 번에 한쪽 하체만 훈련이 가능하여 양쪽 다리의 균형을 맞출 수 있는 장점이 있다. 허벅지를 패드에 대고 움직이지 않게 고정시켜주면 더욱 효과적으로 실시할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140544054_Z8CKPK2TS.jpg/WEIGHT_105_pic_1.jpg?type=w492_fst&wm=N,초급,,허벅지 뒤
,,,,,,
,,,,,,
,,,,,,
"벤치 프레스 - 바벨, 플랫",가슴 운동을 하는 프리 웨이트 중에서 중급 이상의 숙련자에게 추천되는 운동법이다. 대흉근의 전체적인 크기를 키워주고 삼각근과 상완삼두근의 보조적인 참여를 유도해 강하면서도 균형 있는 상체를 만드는 데 효과적이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140231496_7KYY9TTA3.jpg/WEIGHT_022_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
스쿼트 - 바벨,"하체 운동 중 가장 기본이 되는 운동이다. 운동 전에 체중을 이용한 스쿼트 동작으로 자세를 정확히 인지한 후 실시하는 것이 좋다. 등 하부, 엉덩이, 허벅지 전체, 종아리 부위의 근육을 협응적으로 훈련함으로써 에너지 소모가 가장 많은 대표적인 하체 운동이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140528124_0Z7N8RF0D.jpg/WEIGHT_098_pic_1.jpg?type=w492_fst&wm=N,상급,,허벅지 앞
,,,,,,
"래터럴 레이즈 - 덤벨, 벤트 오버","삼각근의 선명도를 높일 수 있는 단관절 운동 중 후면 삼각근을 발달시키기 위한 운동이다. 프레스 동작과 달리 자극시키는 근육의 범위를 제한할 수 있고 목표 부위 수축에 집중할 수 있다는 장점이 있다. 낮은 저항에 반응하는 근섬유들을 자극하기 위해 저중량, 고반복으로 운동한다. 견갑골(날개뼈)이 움직이지 않도록 고정한 상태에서 동작이 이루어져야 후면 삼각근을 최대로 자극할 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140316550_8LBD45UEO.jpg/WEIGHT_044_pic_1.jpg?type=w492_fst&wm=N,초급,,어깨
,,,,,,
랫 풀 다운 - 머신,광배근을 발달시키기 위한 대표적인 운동이다. 턱걸이를 하기 어려운 초보자들에게 좋은 운동이다. 팔만 이용하여 바(bar)를 잡아당기면 이두근의 참여도가 지나치게 높아지므로 동작을 시작하는 시점에서 견갑골(날개뼈)을 우선적으로 내리도록 한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140422798_DZ39YB2GA.jpg/WEIGHT_072_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
,,,,,,
,,,,,,
레그 레이즈,하복부를 단련하는 대표적인 운동이다. 다리를 들어올리는 근육의 힘을 이용하여 동작하는 운동이다. 복근의 힘이 약한 상태에서 운동하게 되면 허리가 지나치게 바닥에서 떨어지게 되어 무리가 될 수 있으므로 사전에 복근의 힘을 키워 놓은 상태에서 실시하는 것이 바람직하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140501158_7DJU74OKB.jpg/WEIGHT_087_pic_1.jpg?type=w492_fst&wm=N,초급,,복부
,,,,,,
"벤치 프레스 - 덤벨, 플랫",대흉근 전체 가동 범위에서 동작이 이루어지기 때문에 가슴을 모아주는 중앙 부위와 바깥쪽 근육의 크기를 키우는 데 효과적이다. 덤벨을 들었을 때 균형을 유지하기 위한 근육들을 함께 발달시킬 수 있는 장점이 있어 강하고 안정된 상체를 만들 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140234591_1465D61QX.jpg/WEIGHT_023_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
어깨 운동,"어깨 운동은 일반적으로 삼각근 운동을 뜻한다. 삼각근은 전면, 측면, 후면으로 나뉘며 그에 따라 운동법에도 차이가 있다. 주로 삼각근은 팔을 몸통으로부터 옆으로 올리거나 앞으로 올릴 때 작용하므로 바벨보다는 덤벨이나 세라밴드, 튜빙밴드 등을 이용한 운동이 더 많다.가장 대표적인 어깨 운동은 기구를 이용한 머신 숄더 프레스다. 바벨을 이용한 운동에는 밀리터리 프레스, 스미스 머신을 이용한 비하인드 넥 프레스, 바벨 숄더 프레스, 바벨 비하인드 넥 프레스가 있으며 이지바(ez-bar)를 이용한 업라이트 로우도 있다. 덤벨이나 밴드, 튜빙을 이용한 운동에는 덤벨 숄더 프레스가 가장 대표적이며,  그 외 아놀드 프레스, 전면 삼각근을 발달시키기 위한 프론트 레이즈, 측면 삼각근을 발달시키기 위한 래터럴 레이즈, 후면 삼각근을 발달시키기 위한 벤트 오버 리버스 플라이 등이 있다. 어깨 운동의 보조 운동으로서 승모근을 발달시키는 덤벨 쉬러그가 있다.성별과 근력의 레벨에 맞게 운동기구를 선택하여 실시하는 것이 바람직하다.",,,,,어깨
,,,,,,
"벤치 프레스 - 바벨, 인클라인",대흉근의 상부 근육 발달을 목적으로 하는 운동이다. 인클라인 벤치 각도가 커질수록 어깨 근육 중 특히 전면 삼각근이 더 많이 동원되기 때문에 대흉근 상부를 집중하여 발달시키기 위해서는 벤치 각도를 30~40도로 유지하는 것이 중요하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140218766_NR16EFODS.jpg/WEIGHT_024_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
"벤치 프레스 - 덤벨, 인클라인","동작의 가동 범위를 최대화시켜 대흉근을 발달시키는 운동이다. 수축과 이완 시 덤벨의 균형을 잘 잡아야 하므로 균형감각을 키울 수 있고, 특히 여성들이 인클라인 덤벨 벤치 프레스를 하면 가슴을 예쁘고 탄력 있게 만들 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140237798_89KYXHHLP.jpg/WEIGHT_025_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
허리 운동,"허리 운동, 즉 척추기립근 운동은 넓게는 등 운동에 속한다. 척추기립근은 척추뼈를 따라서 길게 세로로 뻗어 있는 근육을 말한다. '기립근'이라는 이름에서도 알 수 있듯이 척추를 똑바로 서게 만드는 역할을  하는 아주 중요한 근육으로, 두 발로 서서 직립보행을 하는 우리 사람들에게는 매우 중요하다고 할 수 있다. 승모근과 광배근의 안쪽에서 기립근이 지탱해주고 있기 때문에 몸의 체형을 바로 유지할 수 있는 것이다. 척추기립근을 바르게 유지하기 위해선 바른 자세가 매우 중요하다. 바른 자세와 더불어 바른 운동법으로 기립근을 강화시킬 수 있다. 대표적인 운동법으로는 바벨 데드리프트, 덤벨 데드리프트, 굿모닝, 백 익스텐션 등이 있다.중량을 다루는 운동이므로 잘못된 자세는 큰 부상으로 이어질 수 있으니 정확한 동작으로 안전하게 시행한다.",,,,,허리
,,,,,,
리버스 크런치,복직근 중 하부를 단련시키는 운동이다. 크런치와 반대되는 동작으로 상체를 들어올리는 대신 다리를 들어올림으로써 하복부를 강화할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140453817_D3STZ37NX.jpg/WEIGHT_085_pic_1.jpg?type=w492_fst&wm=N,중급,,복부
,,,,,,
리버스 리스트 컬 - 덤벨,전완의 바깥쪽 근육을 발달시키는 운동이다. 벤치 가장자리나 무릎 위에 전완부를 고정시키고 손목의 움직임만으로 동작을 실시한다. 테니스 엘보를 예방하는 데 추천되는 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140410829_GUBA2Y2DH.jpg/WEIGHT_068_pic_1.jpg?type=w492_fst&wm=N,초급,,아래팔
,,,,,,
,,,,,,
,,,,,,
종아리 운동,"발을 지탱할 뿐만 아니라 걷거나 뛰는 데 중요한 역할을 하는 근육이 바로 종아리 근육이다. 종아리 근육에는 대표적으로 무릎관절을 지나는 다관절 근육인 비복근과 무릎관절을 지나지 않는 단관절 근육인 가자미근이 있다.비복근을 강화시키는 데는 무릎을 펴고 똑바로 선 자세에서 실시하는 스탠딩 카프 레이즈, 싱글 레그 카프 레이즈, 머신 카프 프레스 등의 운동이 있다. 가자미근을 운동하려면 무릎을 굽힌 자세의 운동법인 시티드 카프 레이즈 등을 실시한다.",,,,,종아리
,,,,,,
카프 레이즈 - 스탠딩,가장 기본이 되는 종아리 운동으로 뒤꿈치를 들어 체중을 올리는 역할을 하는 근육을 발달시킨다. 지구력이 높은 근육의 특성상 고반복이 필수적이다. 스미스 머신을 이용해 실시할 수도 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140553087_ORSC3QOYX.jpg/WEIGHT_109_pic_1.jpg?type=w492_fst&wm=N,초급,,종아리
,,,,,,
플라이 - 펙 덱 머신,운동을 처음 시작하는 초보자들이 덤벨 플라이를 실시하기 전에 근육의 자극을 경험하고 자세를 교정하는 데 효과적다. 대흉근에집중하기에 좋은 운동이다. 정확한 자세로 반복횟수를 늘리는 것이 가장 중요하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140255904_21ZLLR74Q.jpg/WEIGHT_031_pic_1.jpg?type=w492_fst&wm=N,초급,,가슴
,,,,,,
,,,,,,
,,,,,,
벤치 프레스 - 머신,초보자에게 적합한 운동법이다. 바벨 벤치 프레스보다 더 쉽게 실시할 수 있으며 운동 시 부상 위험이 적은 장점이 있다. 자세를 교정하는 데 효과적이고 중급 프로그램으로 운동을 바꾸기 전 대흉근의 긴장감을 미리 느껴보는 연습을 하기에 최적의 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140229854_F2KN1EPDH.jpg/WEIGHT_021_pic_1.jpg?type=w492_fst&wm=N,초급,,가슴
,,,,,,
딥스 - 벤치,상완삼두근 전체를 발달시키는 데 매우 좋은 동작이다. 상해 예방을 위해서는 어깨관절에 부담을 느끼지 않는 범위 내에서 운동하는 것이 좋다. 집에서도 의자나 탁자를 이용하여 부담 없이 실시할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140358092_BP01QNFEA.jpg/WEIGHT_064_pic_1.jpg?type=w492_fst&wm=N,초급,,
,,,,,,
제자리 뛰기,쉽고 간단한 동작으로 언제 어디서나 실시하기 좋은 전신 유산소성 근력 운동이다. 특히 복부 지방을 태우고 치골 라인을 만드는 데 효과적이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110937953_PN4VZNZJ7.jpg/WEIGHT_133_pic_1.jpg?type=w492_fst&wm=N,초급,,전신
,,,,,,
,,,,,,
,,,,,,
리스트 컬 - 덤벨,전완의 안쪽 근육을 발달시키는 운동이다. 벤치 가장자리나 무릎 위에 전완부를 고정시키고 손목의 움직임만으로 운동한다. 바벨로 운동할 때보다 손목의 가동 범위가 넓은 것이 장점이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140405885_1W01S8TI5.jpg/WEIGHT_066_pic_1.jpg?type=w492_fst&wm=N,초급,,아래팔
,,,,,,
백 익스텐션,벤치나 짐볼을 이용하거나 맨바닥에서 실시할 수 있는 운동이다. 동작을 천천히 실시하여 집중하는 것이 효과적이다. 복부 운동 다음에는 백 익스텐션을 해주는 것이 좋다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140447991_8LZ25Q6T1.jpg/WEIGHT_082_pic_1.jpg?type=w492_fst&wm=N,초급,,허리
,,,,,,
리버스 컬 - 바벨,상완이두근의 바깥쪽 부위를 발달시킬 수 있는 동작이다. 전완 신전근과 손목의 힘을 강화하는 데도 도움이 된다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140325460_P0ARDEYUA.jpg/WEIGHT_050_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
리버스 리스트 컬 - 바벨,전완의 바깥쪽 근육을 발달시키는 운동이다. 벤치 가장자리나 무릎 위에 전완부를 고정시키고 손목의 움직임만으로 동작을 실시한다. 테니스 엘보를 예방하는 데 추천되는 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140409157_PW7DWWHNR.jpg/WEIGHT_067_pic_1.jpg?type=w492_fst&wm=N,초급,,아래팔
,,,,,,
숄더 프레스 - 바벨,삼각근의 전면과 측면의 볼륨을 키울 수 있는 운동이다. 머신과 비교해 전후 방향으로 작용하는 힘에 저항하게 되므로 근 발달에는 조금 더 효과적이나 안정성이 떨어진다. 전면 및 측면 삼각근의 단면적을 키우는 데 가장 효과적인 운동법이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140303833_QR7FS0ERF.jpg/WEIGHT_038_pic_1.jpg?type=w492_fst&wm=N,중급,,어깨
,,,,,,
,,,,,,
,,,,,,
숄더 프레스 - 머신,삼각근의 전면과 측면의 볼륨을 키울 수 있는 다관절 운동이다. 머신을 이용하기 때문에 동작의 컨트롤이 용이하고 안정된 자세로 좀 더 많은 중량을 다룰 수 있다는 장점이 있다. 반면 중력 방향에 대한 저항만이 근육에 가해지기 때문에 다양한 자극을 부여하기는 어려운 점이 있다. 그러나 안전하게 근육을 발달시킬 수 있는 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140259948_SD94VR7BE.jpg/WEIGHT_036_pic_1.jpg?type=w492_fst&wm=N,초급,,어깨
,,,,,,
아놀드 프레스,아놀드 슈왈제네거가 고안해낸 삼각근 운동으로 전면 삼각근의 수축으로 시작하여 측면 삼각근 수축으로 동작이 마무리되는 기능 향상 운동이라고 할 수 있다. 넓은 가동 범위로 어깨 전체를 운동할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140310591_5G9LCBFZM.jpg/WEIGHT_041_pic_1.jpg?type=w492_fst&wm=N,상급,,어깨
,,,,,,
킥 백 - 덤벨,"상완삼두근의 상부, 특히 바깥쪽 부분을 발달시키는 데 효과적인 운동이다. 가벼운 중량으로 반복횟수를 늘려 정확한 자세로 근육의 긴장과 수축에 집중하는 것이 중요하다. 양손으로 실시하거나 벤치에 엎드려서 실시할 수 있으며, 보다 확실한 긴장과 수축으로 상완삼두근의 발달을 도모하기 위해서는 한 팔씩 교대로 실시하는 방법이 추천된다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140354711_16BI76VHB.jpg/WEIGHT_062_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 뒤
,,,,,,
"컬 - 덤벨, 인클라인",경사진 벤치에 누워서 실시하는 운동이다. 상완이두근의 위쪽 부위를 더욱 자극하고 선명도를 발달시키는 데 효과적인 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140321872_UVS1TJ9NF.jpg/WEIGHT_048_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
,,,,,,
,,,,,,
컬 - 바벨,대표적인 상완이두근 운동으로 선 자세에서 스트레이트 바 또는 이지바(ez-bar)를 이용해서 실시할 수도 있다. 상완이두근의 근육의 크기를 증가시키는 데 효과적이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140323417_ARLQY16FE.jpg/WEIGHT_049_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
"플라이 - 덤벨, 인클라인",대흉근 상부의 근육을 뚜렷하게 하고 아름다운 가슴라인이 만들어질 수 있도록 자극을 주는 운동이다. 가벼운 중량으로 반복횟수를 증가시켜 동작을 실시하는 것이 무엇보다 중요하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140239796_F5KX2HKG1.jpg/WEIGHT_026_pic_1.jpg?type=w492_fst&wm=N,초급,,가슴
,,,,,,
데드리프트 - 덤벨,"둔근, 대퇴 후면 근육 등 전신 근육 발달에 중요한 영향을 끼치는 운동이다. 신체의 파워를 기를 수 있고, 몸통을 둘러싸고 있는 근육들의 근력을 전반적으로 향상시킬 수 있는 운동이다. 바벨 데드리프트에 비해 무거운 중량을 들기는 힘들지만 밸런스를 위한 협응성을 기를 수 있다. 특히 무거운 중량의 바벨을 사용하기 어려운 여성들에게 권장되는 운동이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140443347_HM4GPNZN8.jpg/WEIGHT_080_pic_1.jpg?type=w492_fst&wm=N,중급,,허리
,,,,,,
스쿼트 - 덤벨,바벨 스쿼트와 함께 대퇴사두근과 둔근의 근력과 크기 증가를 위한 운동이다. 바벨 스쿼트에 비해 균형을 잡기 쉬운 운동으로 등을 곧게 편 상태에서 전방을 주시하면서 의자에 앉듯이 천천히 몸을 낮추면서 실시하면 더욱 균형감 있게 실시할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140530520_XW6OT717X.jpg/WEIGHT_099_pic_1.jpg?type=w492_fst&wm=N,중급,,허벅지 앞
,,,,,,
"트라이셉스 익스텐션 - 덤벨, 오버헤드","상완삼두근 중 특히 장두 부분을 발달시키기에 좋은 운동이다. 벤치에 앉아서도 가능하고 일어서서도 가능하며, 상체가 덤벨의 반동으로 인해 흔들리지 않도록 하는 것이 중요하다. 탄력 있는 팔을 만들고 싶어하는 여성에게 추천하는 운동이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140349307_QE2M3877E.jpg/WEIGHT_059_pic_1.jpg?type=w492_fst&wm=N,중급,,위팔 뒤
,,,,,,
"로우 - 케이블, 시티드",벤트 오버 로우 동작을 앉아서 케이블을 이용해 하는 운동이다. 등 근육의 선명도를 높이기 위해서는 반복횟수를 높여 실시한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140436140_45SB37HS9.jpg/WEIGHT_076_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
"트라이셉스 익스텐션 - 덤벨, 오버헤드","상완삼두근 중 특히 장두 부분을 발달시키기에 좋은 운동이다. 벤치에 앉아서도 가능하고 일어서서도 가능하며, 상체가 덤벨의 반동으로 인해 흔들리지 않도록 하는 것이 중요하다. 탄력 있는 팔을 만들고 싶어하는 여성에게 추천하는 운동이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140349307_QE2M3877E.jpg/WEIGHT_059_pic_1.jpg?type=w492_fst&wm=N,중급,,위팔 뒤
,,,,,,
"로우 - 케이블, 시티드",벤트 오버 로우 동작을 앉아서 케이블을 이용해 하는 운동이다. 등 근육의 선명도를 높이기 위해서는 반복횟수를 높여 실시한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140436140_45SB37HS9.jpg/WEIGHT_076_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
"로우 - 덤벨, 원 암",몸의 중심선(척추)에 가까운 등의 근육을 집중적으로 발달시키고 선명도를 증가시킬 수 있는 운동이다. 허리에 대한 부담이 적고 등 근육을 한쪽씩 집중시킬 수 있다. 한 방향씩 실시하면 동작의 가동 범위를 넓힐 수 있고 목표 근육에 자극을 증가시킬 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140435424_KPNMBT0J3.jpg/WEIGHT_075_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
컬 - 덤벨,"바벨 컬에 비해 상완이두근의 선명도를 높일 수 있는 운동이다. 선 자세와 앉은 자세(벤치, 짐볼)에서 운동이 가능하며, 그립을 잡는 방향에 따라 발현되는 근육이 달라지며, 양팔을 동시에 운동하거나 한 팔씩 번갈아가며 운동을 할 수도 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140325678_OFJZJWNWS.jpg/WEIGHT_051_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
리스트 컬 - 바벨,전완의 안쪽 근육을 발달시키는 운동이다. 벤치 가장자리나 무릎 위에 전완부를 고정시키고 손목의 움직임만으로 운동한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140404383_2EXXXQLGX.jpg/WEIGHT_065_pic_1.jpg?type=w492_fst&wm=N,초급,,아래팔
,,,,,,
"데드리프트 - 바벨, 스티프 레그드","슬굴곡근과, 척추기립근, 대둔근이 통합적으로 동원되어 대퇴후면과 등 하부를 동시에 강화시켜주는 운동이다. 머리를 숙이거나 등을 곧게 펴지 않고 실시할 경우 허리 통증을 호소할 수 있으므로 운동 전 충분한 자세 연습이 필요한 동작이다. 탄력 있는 뒷모습을 만들고 싶은 여성에게 추천하는 운동이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140549262_03IPSFFCE.jpg/WEIGHT_107_pic_1.jpg?type=w492_fst&wm=N,중급,,허벅지 뒤
,,,,,,
스쿼트 - 스미스 머신,바벨 스쿼트 운동에 비해 고립된 운동으로 대퇴부와 둔부 크기를 증가시키기 위한 운동이다. 무릎과 등 하부에 부담을 줄이고 대퇴를 강도 높게 자극할 수 있다. 초보자들이 쉽고 안전하게 할 수 있는 장점이 있지만 등과 허리에 통증이 있는 경우엔 레그 프레스 운동으로 대체해서 실시하는 것이 바람직하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140532333_HWP1YL1FD.jpg/WEIGHT_100_pic_1.jpg?type=w492_fst&wm=N,중급,,허벅지 앞
,,,,,,
